name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_ks_stat,g-y_ks_pval,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_ks_stat,r-y_ks_pval,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_ks_stat,i-y_ks_pval,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_ks_stat,z-y_ks_pval,z-y_label,z-y_score,total,score,GOFHER_label,
IC 2101,NE,NE,SW,0.126648731,0.07026971915,0.05637901189,0.2826923077,4.47E-05,SW,-1,0.1757027849,0.09629972399,0.07940306086,0.2908653846,2.45E-05,SW,-1,0.1980070076,0.1209459288,0.0770610788,0.2454326923,0.0006633470889,SW,-1,0.2089302418,0.1370516863,0.07187855544,0.2146634615,0.004299528551,SW,-1,0.04905405381,0.02603000484,0.02302404897,0.2294471154,0.001782400648,SW,-1,0.07135827657,0.05067620966,0.02068206691,0.1526442308,0.08548662102,SW,-1,0.08228151072,0.06678196716,0.01549954355,0.0984375,0.5100092725,SW,-1,0.02230422276,0.02464620482,-0.002341982061,0.1123798077,0.3524156564,NE,1,0.03322745691,0.04075196233,-0.007524505422,0.09807692308,0.5156231681,NE,1,0.01092323414,0.0161057575,-0.005182523361,0.1650240385,0.0507218817,NE,1,-4,-1,SW,2
IC1683,W,E,W,0.001439450985,-0.001517971347,0.002957422333,0.2585375265,0.01268805495,W,1,-0.002072296546,-0.008009926417,0.005937629871,0.2984757862,0.002311664295,W,1,-0.005780616742,-0.01709359947,0.01131298273,0.2870924175,0.004032853401,W,1,-0.0007816015618,-0.01277276258,0.01199116102,0.3403434304,0.0003059356854,W,1,-0.003511747531,-0.006491955069,0.002980207538,0.3023345553,0.002093229682,W,1,-0.007220067727,-0.01557562812,0.008355560395,0.2901794328,0.003530682422,W,1,-0.002221052547,-0.01125479123,0.009033738683,0.3540420606,0.0001468916758,W,1,-0.003708320196,-0.009083673052,0.005375352856,0.3179625699,0.001004091764,W,1,0.001290694984,-0.00476283616,0.006053531144,0.3395716766,0.0003085649786,W,1,0.00499901518,0.004320836892,0.0006781782879,0.2569940189,0.01319861017,W,1,10,1,W,3
IC1755,SW,E,W,0.02653252114,0.02439083658,0.002141684564,0.09430979979,0.8475001281,W,1,0.02838984333,0.02274888877,0.005640954556,0.1831752722,0.1355579993,W,1,0.02730179801,0.02243860826,0.004863189754,0.1831752722,0.1355579993,W,1,0.02190947571,0.0158381218,0.006071353915,0.1866877415,0.1222504239,W,1,0.001857322188,-0.001641947804,0.003499269992,0.2804706709,0.003972177397,W,1,0.0007692768693,-0.00195222832,0.00272150519,0.2093431682,0.0605843256,W,1,-0.004623045432,-0.008552714783,0.003929669351,0.2286617492,0.03129375425,W,1,-0.001088045319,-0.0003102805163,-0.0007777648023,0.1596417281,0.253531021,E,-1,-0.00648036762,-0.006910766979,0.0004303993589,0.1064278188,0.7315576397,W,1,-0.005392322301,-0.006600486463,0.001208164161,0.1714085002,0.187135985,W,1,8,1,W,4
IC5376,W,W,E,0.008264298767,0.02661378727,-0.0183494885,0.6017699115,2.29E-19,W,1,0.01701124422,0.04425631069,-0.02724506647,0.6017699115,2.29E-19,W,1,0.01391409994,0.045519602,-0.03160550206,0.6991150442,9.50E-27,W,1,0.01261054457,0.04990331289,-0.03729276832,0.7256637168,4.67E-29,W,1,0.008746945456,0.01764252342,-0.008895577964,0.5575221239,1.65E-16,W,1,0.005649801169,0.01890581472,-0.01325601355,0.7522123894,1.65E-31,W,1,0.004346245807,0.02328952562,-0.01894327982,0.814159292,7.17E-38,W,1,-0.003097144287,0.001263291303,-0.00436043559,0.6194690265,1.36E-20,W,1,-0.004400699649,0.005647002203,-0.01004770185,0.796460177,5.92E-36,W,1,-0.001303555362,0.004383710899,-0.005687266261,0.6460176991,1.59E-22,W,1,10,1,W,5
MCG-02-02-030,SW,E,W,0.04449469184,0.01020164136,0.03429305048,0.7273232136,5.35E-38,W,1,0.07301251629,0.02694915407,0.04606336221,0.632728619,3.67E-28,W,1,0.08798524789,0.03343910597,0.05454614192,0.6320807108,5.85E-28,W,1,0.09775420819,0.03845359412,0.05930061406,0.6186597556,9.98E-27,W,1,0.02851782444,0.01674751271,0.01177031173,0.4277119585,1.56E-12,W,1,0.04349055605,0.0232374646,0.02025309145,0.5222139948,8.93E-19,W,1,0.05325951634,0.02825195276,0.02500756358,0.5288781933,2.78E-19,W,1,0.01497273161,0.006489951892,0.008482779714,0.5431321733,2.49E-20,W,1,0.0247416919,0.01150444005,0.01323725185,0.5219363199,8.95E-19,W,1,0.009768960295,0.005014488155,0.00475447214,0.3379303961,6.19E-08,W,1,10,1,W,6
MCG-02-51-004,NE,NE,SW,0.005663455064,0.02039112988,-0.01472767482,0.5212101978,7.95E-18,NE,1,0.0077542902,0.02770582896,-0.01995153876,0.5498783455,6.46E-20,NE,1,0.001927022283,0.02674482697,-0.02481780469,0.4905321062,1.92E-15,NE,1,0.004442688174,0.03300676985,-0.02856408168,0.6082725061,1.45E-24,NE,1,0.002090835136,0.007314699075,-0.005223863939,0.4032582249,1.87E-10,NE,1,-0.003736432781,0.006353697089,-0.01009012987,0.3823653866,1.35E-09,NE,1,-0.00122076689,0.01261563997,-0.01383640686,0.5128530625,4.60E-17,NE,1,-0.005827267917,-0.000961001986,-0.004866265931,0.2671638633,6.64E-05,NE,1,-0.003311602027,0.005300940893,-0.008612542919,0.4194435629,1.53E-11,NE,1,0.00251566589,0.006261942879,-0.003746276988,0.228657569,0.001250891469,NE,1,10,1,NE,7
NGC1035,NE,NE,SW,0.02569503012,0.04364206441,-0.01794703429,0.2856419371,4.55E-12,NE,1,0.02085856719,0.0618754802,-0.04101691301,0.4433551198,5.13E-29,NE,1,0.01747902052,0.08572285137,-0.06824383086,0.5639070443,8.55E-48,NE,1,0.01939460426,0.110421992,-0.09102738776,0.5669552421,2.38E-48,NE,1,-0.004836462931,0.01823341578,-0.02306987872,0.539569239,5.82E-44,NE,1,-0.008216009606,0.04208078696,-0.05029679657,0.7155333868,3.65E-80,NE,1,-0.006300425865,0.06677992761,-0.07308035347,0.6752665979,1.85E-70,NE,1,-0.003379546675,0.02384737118,-0.02722691785,0.7032545962,2.60E-77,NE,1,-0.001463962934,0.04854651182,-0.05001047476,0.6319802775,5.71E-61,NE,1,0.001915583741,0.02469914065,-0.02278355691,0.4467855368,1.01E-29,NE,1,10,1,NE,8
NGC1056,SW,E,W,0.03375994146,0.01251062225,0.02124931921,0.6949382224,2.99E-45,W,1,0.05263057838,0.02095146163,0.03167911676,0.6534874452,1.43E-39,W,1,0.061045903,0.02039739101,0.04064851199,0.715557327,2.71E-48,W,1,0.06441356112,0.01670329448,0.04771026664,0.7720207254,1.90E-57,W,1,0.01887063692,0.008440839377,0.01042979755,0.5704264647,1.15E-29,W,1,0.02728596154,0.007886768759,0.01939919278,0.7050883486,9.38E-47,W,1,0.03065361966,0.004192672229,0.02646094744,0.7929586821,4.30E-61,W,1,0.008415324619,-0.000554070618,0.008969395237,0.8137372127,6.25E-65,W,1,0.01178298274,-0.004248167148,0.01603114989,0.8862760728,3.42E-80,W,1,0.003367658121,-0.00369409653,0.007061754651,0.7573269563,7.70E-55,W,1,10,1,W,9
NGC1084,SE,NW,SE,0.02478756561,0.0256969528,-0.0009093871982,0.1026961629,0.04757414249,NW,-1,0.03264731263,0.03130892859,0.001338384045,0.09721813798,0.06987790078,SE,1,0.04419678847,0.03943313229,0.004763656175,0.1434620781,0.001417753178,SE,1,0.05877037626,0.04994357324,0.008826803016,0.1815645978,1.85E-05,SE,1,0.007859747028,0.005611975785,0.002247771243,0.126507087,0.007036747528,SE,1,0.01940922286,0.01373617949,0.005673043373,0.2240613001,4.23E-08,SE,1,0.03398281065,0.02424662044,0.009736190214,0.2959729796,7.25E-14,SE,1,0.01154947583,0.008124203703,0.00342527213,0.2791524185,2.24E-12,SE,1,0.02612306363,0.01863464465,0.007488418971,0.34288907,1.45E-18,SE,1,0.01457358779,0.01051044095,0.004063146841,0.3936952303,2.34E-24,SE,1,8,1,SE,10
NGC1093,N,N,S,0.07182592748,0.07648136815,-0.004655440668,0.19,0.05390207893,N,1,0.07071620443,0.07913331249,-0.008417108058,0.23,0.009878183186,N,1,0.07721507584,0.0846909494,-0.007475873561,0.17,0.1111952605,N,1,0.07352547005,0.08365790804,-0.01013243799,0.2,0.03638428787,N,1,-0.00110972305,0.00265194434,-0.00376166739,0.33,3.21E-05,N,1,0.005389148362,0.008209581255,-0.002820432893,0.19,0.05390207893,N,1,0.001699542569,0.007176539889,-0.00547699732,0.23,0.009878183186,N,1,0.006498871412,0.005557636915,0.0009412344974,0.13,0.3681877861,S,-1,0.002809265619,0.004524595549,-0.00171532993,0.17,0.1111952605,N,1,-0.003689605793,-0.001033041366,-0.002656564427,0.27,0.001293505978,N,1,8,1,N,11
NGC1097,SW,NE,SW,0.01927145444,0.01118957517,0.008081879277,0.2148399452,4.40E-25,SW,1,0.03449528189,0.02116641649,0.01332886541,0.2496402145,7.04E-34,SW,1,0.04149014613,0.02503888865,0.01645125747,0.2499880352,6.17E-34,SW,1,0.03364727958,0.01549325582,0.01815402376,0.2528137413,1.23E-34,SW,1,0.01522382745,0.00997684132,0.005246986129,0.2497669399,6.18E-34,SW,1,0.02221869168,0.01384931349,0.008369378196,0.2523681803,1.32E-34,SW,1,0.01437582513,0.004303680653,0.01007214448,0.2636440419,8.32E-38,SW,1,0.006994864233,0.003872472166,0.003122392067,0.2033173736,1.68E-22,SW,1,-0.0008480023172,-0.005673160668,0.00482515835,0.2018782317,3.67E-22,SW,1,-0.00784286655,-0.009545632833,0.001702766283,0.05776587218,0.03237481103,SW,1,10,1,SW,12
NGC1421,NW,W,E,0.09395354313,0.09731260104,-0.003359057915,0.2093702873,5.27E-14,W,1,0.1291420442,0.1349777347,-0.00583569045,0.2280619523,1.58E-16,W,1,0.1386964006,0.1480113216,-0.009314921066,0.2479763603,1.72E-19,W,1,0.1430854166,0.1554428475,-0.01235743085,0.2537232525,2.20E-20,W,1,0.03518850108,0.03766513362,-0.002476632535,0.1908049725,1.06E-11,W,1,0.04474285744,0.05069872059,-0.005955863151,0.2379131852,5.63E-18,W,1,0.04913187352,0.05813024645,-0.008998372934,0.2593234155,2.67E-21,W,1,0.009554356354,0.01303358697,-0.003479230616,0.276417363,3.58E-24,W,1,0.01394337243,0.02046511283,-0.006521740399,0.326480538,1.15E-33,W,1,0.004389016081,0.007431525864,-0.003042509782,0.3321662931,7.39E-35,W,1,10,1,W,13
NGC157,SE,NW,SE,0.003530149427,0.003675255879,-0.0001451064518,0.1489361702,3.80E-08,NW,-1,0.01502224664,0.01048952461,0.004532722034,0.1576971214,4.38E-09,SE,1,0.01554981099,0.009118931696,0.006430879293,0.1864831039,1.48E-12,SE,1,0.01614715824,0.008118245571,0.008028912672,0.2127659574,3.03E-16,SE,1,0.01149209722,0.00681426873,0.004677828486,0.3629536921,3.62E-47,SE,1,0.01201966156,0.005443675817,0.006575985745,0.3504380476,6.27E-44,SE,1,0.01261700882,0.004442989692,0.008174019124,0.3491864831,1.30E-43,SE,1,0.0005275643471,-0.001370592912,0.00189815726,0.2265331665,2.24E-18,SE,1,0.001124911601,-0.002371279038,0.003496190638,0.2753441802,4.65E-27,SE,1,0.0005973472534,-0.001000686125,0.001598033379,0.2102628285,7.16E-16,SE,1,8,1,SE,14
NGC1637,E,W,E,0.0005452907963,-0.001220787091,0.001766077887,0.1335485568,1.25E-06,E,1,0.004004501265,0.001807115759,0.002197385506,0.1027189899,0.0004214815474,E,1,0.005259785219,0.00116853251,0.004091252709,0.1912954062,3.67E-13,E,1,0.009461708628,0.005906171566,0.003555537062,0.1443910371,1.12E-07,E,1,0.003459210468,0.003027902849,0.0004313076189,0.05485328933,0.1749570207,E,1,0.004714494423,0.002389319601,0.002325174822,0.2037496712,6.95E-15,E,1,0.008916417832,0.007126958656,0.001789459175,0.114518019,5.44E-05,E,1,0.001255283954,-0.0006385832488,0.001893867203,0.2361431954,7.11E-20,E,1,0.005457207363,0.004099055807,0.001358151556,0.1705430806,1.52E-10,E,1,0.004201923409,0.004737639056,-0.0005357156468,0.09454528063,0.001528673508,W,-1,8,1,E,15
NGC1667,E,NE,SW,0.02808036924,0.0304934204,-0.002413051162,0.2498637899,0.0003183579321,NE,1,0.02444736519,0.02981684751,-0.00536948232,0.3067451237,3.73E-06,NE,1,0.03108266545,0.03832760727,-0.007244941825,0.3183502234,1.35E-06,NE,1,0.0283458619,0.03724298462,-0.00889712272,0.3206930369,1.08E-06,NE,1,-0.003633004048,-0.0006765728894,-0.002956431158,0.1869892122,0.01458460997,NE,1,0.003002296208,0.007834186871,-0.004831890663,0.3510406451,6.01E-08,NE,1,0.0002654926576,0.006749564216,-0.006484071558,0.2874577749,1.88E-05,NE,1,0.006635300256,0.00851075976,-0.001875459504,0.2393483709,0.0006504276401,NE,1,0.003898496705,0.007426137105,-0.0035276404,0.3167157023,1.56E-06,NE,1,-0.00273680355,-0.001084622655,-0.001652180895,0.1863898878,0.01507535695,NE,1,10,1,NE,16
